Timestamp,Vibration_X,Vibration_Y,Vibration_Z,Magnitude,Aux1,Aux2,Aux3,Raw_Data1,Raw_Data2,Raw_Data3,Raw_Extra1,Raw_Extra2,Raw_Extra3
2025-11-05 14:38:09.367,9.0,3.0,8.0,12.409673645990857,18,0,4,9,3,8,18,0,4
2025-11-05 14:38:09.459,0.0,1.0,2.0,2.23606797749979,19,0,8,0,1,2,19,0,8
2025-11-05 14:38:09.576,0.0,0.0,1.0,1.0,2,0,2,0,0,1,2,0,2
2025-11-05 14:38:09.667,1.0,0.0,0.0,1.0,0,0,3,1,0,0,0,0,3
2025-11-05 14:38:09.787,0.0,0.0,0.0,0.0,3,0,4,0,0,0,3,0,4
2025-11-05 14:38:09.846,0.0,0.0,0.0,0.0,1,0,2,0,0,0,1,0,2
2025-11-05 14:38:10.003,8.0,0.0,3.0,8.54400374531753,66,0,47,8,0,3,66,0,47
2025-11-05 14:38:10.058,3.0,7.0,3.0,8.18535277187245,95,0,69,3,7,3,95,0,69
2025-11-05 14:38:10.176,2.0,2.0,3.0,4.123105625617661,5,0,49,2,2,3,5,0,49
2025-11-05 14:38:10.267,6.0,1.0,10.0,11.704699910719626,38,0,47,6,1,10,38,0,47
2025-11-05 14:38:10.387,9.0,3.0,3.0,9.9498743710662,1,0,21,9,3,3,1,0,21
2025-11-05 14:38:10.479,10.0,1.0,4.0,10.816653826391969,9,0,17,10,1,4,9,0,17
2025-11-05 14:38:10.599,3.0,0.0,3.0,4.242640687119285,6,0,8,3,0,3,6,0,8
2025-11-05 14:38:10.658,2.0,4.0,3.0,5.385164807134504,29,0,29,2,4,3,29,0,29
2025-11-05 14:38:10.776,4.0,5.0,17.0,18.16590212458495,85,0,42,4,5,17,85,0,42
2025-11-05 14:38:10.879,12.0,3.0,2.0,12.529964086141668,5,0,19,12,3,2,5,0,19
2025-11-05 14:38:10.985,1.0,0.0,2.0,2.23606797749979,16,0,46,1,0,2,16,0,46
2025-11-05 14:38:11.075,6.0,3.0,5.0,8.366600265340756,25,0,12,6,3,5,25,0,12
2025-11-05 14:38:11.196,8.0,4.0,2.0,9.16515138991168,54,0,132,8,4,2,54,0,132
2025-11-05 14:38:11.256,21.0,8.0,15.0,27.018512172212592,18,0,85,21,8,15,18,0,85
2025-11-05 14:38:11.406,3.0,1.0,3.0,4.358898943540674,50,0,157,3,1,3,50,0,157
2025-11-05 14:38:11.465,13.0,2.0,7.0,14.89966442575134,57,0,92,13,2,7,57,0,92
2025-11-05 14:38:11.585,4.0,0.0,2.0,4.47213595499958,21,0,23,4,0,2,21,0,23
2025-11-05 14:38:11.676,2.0,1.0,5.0,5.477225575051661,12,0,17,2,1,5,12,0,17
2025-11-05 14:38:11.798,1.0,1.0,4.0,4.242640687119285,15,0,74,1,1,4,15,0,74
2025-11-05 14:38:11.885,1.0,0.0,1.0,1.4142135623730951,14,0,7,1,0,1,14,0,7
2025-11-05 14:38:12.006,1.0,1.0,3.0,3.3166247903554,15,0,31,1,1,3,15,0,31
2025-11-05 14:38:12.067,3.0,0.0,1.0,3.1622776601683795,15,0,5,3,0,1,15,0,5
2025-11-05 14:38:12.187,0.0,0.0,2.0,2.0,11,0,44,0,0,2,11,0,44
2025-11-05 14:38:12.281,3.0,1.0,1.0,3.3166247903554,3,0,14,3,1,1,3,0,14
2025-11-05 14:38:12.397,0.0,0.0,0.0,0.0,7,0,22,0,0,0,7,0,22
2025-11-05 14:38:12.486,0.0,0.0,0.0,0.0,3,0,5,0,0,0,3,0,5
2025-11-05 14:38:12.606,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:38:12.667,0.0,0.0,1.0,1.0,16,0,25,0,0,1,16,0,25
2025-11-05 14:38:12.846,1.0,2.0,0.0,2.23606797749979,33,0,40,1,2,0,33,0,40
2025-11-05 14:38:12.877,1.0,0.0,4.0,4.123105625617661,9,0,46,1,0,4,9,0,46
2025-11-05 14:38:12.997,3.0,3.0,4.0,5.830951894845301,12,0,24,3,3,4,12,0,24
2025-11-05 14:38:13.086,6.0,1.0,4.0,7.280109889280518,22,0,6,6,1,4,22,0,6
2025-11-05 14:38:13.209,11.0,7.0,2.0,13.19090595827292,26,0,15,11,7,2,26,0,15
2025-11-05 14:38:13.298,19.0,20.0,4.0,27.874719729532707,57,0,79,19,20,4,57,0,79
2025-11-05 14:38:13.416,11.0,27.0,12.0,31.52776554086889,4,0,14,11,27,12,4,0,14
2025-11-05 14:38:13.476,7.0,7.0,17.0,19.672315572906,36,0,152,7,7,17,36,0,152
2025-11-05 14:38:13.599,15.0,1.0,26.0,30.033314835362415,89,0,38,15,1,26,89,0,38
